"Plot3"
"Time (sec)","Motor Torque3 (pound_force-inch)"
0,-99177.1829787881
0.0399339933993399,-46990.6474284385
0.0798679867986799,-35221.672948027
0.11980198019802,-29312.9920468427
0.15973597359736,-25596.1272987896
0.1996699669967,-22981.0273952453
0.23960396039604,-21006.1052408858
0.27953795379538,-19450.3137530111
0.31947194719472,-18182.3249323853
0.35940594059406,-17111.4765229159
0.399339933993399,-16193.0911929559
0.439273927392739,-15400.2355235426
0.479207920792079,-14707.2166194296
0.519141914191419,-14090.8580393665
0.559075907590759,-13531.275379086
0.599009900990099,-13026.1195799323
0.638943894389439,-12566.3692302089
0.678877887788779,-12146.2750973273
0.718811881188119,-11758.7096624612
0.758745874587459,-11400.8840660756
0.798679867986799,-11068.9181463101
0.838613861386138,-10758.6507896456
0.878547854785478,-10468.1980439448
0.918481848184818,-10196.1250755268
0.958415841584158,-9939.86344407656
0.998349834983498,-9697.12230477457
1.03828382838284,-9467.8408972516
1.07821782178218,-9250.98619158385
1.11815181518152,-9044.61852966696
1.15808580858086,-8848.33826619896
1.1980198019802,-8660.76583596969
1.23795379537954,-8481.41400959617
1.27788778877888,-8309.92316622359
1.31782178217822,-8145.31442382644
1.35775577557756,-7987.67035826212
1.3976897689769,-7836.03372190308
1.43762376237624,-7690.10154358737
1.47755775577558,-7549.11086643559
1.51749174917492,-7413.39438469705
1.55742574257426,-7282.41873932755
1.5973597359736,-7155.53808131813
1.63729372937294,-7032.66091981616
1.67722772277228,-6913.74208605785
1.71716171617162,-6798.55760961459
1.75709570957096,-6686.57622926074
1.7970297029703,-6578.00015930038
1.83696369636964,-6472.34733336511
1.87689768976898,-6369.586991906
1.91683168316832,-6269.55146872371
1.95676567656766,-6171.88074409886
1.996699669967,-6076.81220144951
2.03663366336634,-5984.23320561399
2.07656765676568,-5893.3150097986
2.11650165016502,-5804.63984339355
2.15643564356436,-5718.01858134941
2.1963696369637,-5633.34028890339
2.23630363036304,-5550.23858028848
2.27623762376238,-5469.11089862733
2.31617161716172,-5389.30044225115
2.35610561056106,-5311.12616505921
2.3960396039604,-5234.58328881462
2.43597359735974,-5159.30318719824
2.47590759075908,-5085.49580286434
2.51584158415842,-5012.85992802914
2.55577557755776,-4941.70706824221
2.5957095709571,-4871.37168925855
2.63564356435644,-4802.1573595281
2.67557755775578,-4733.77083701025
2.71551155115512,-4666.28372163231
2.75544554455446,-4599.8167126792
2.7953795379538,-4534.46544113372
2.83531353135314,-4470.03787422332
2.87524752475248,-4406.40027017199
2.91518151815182,-4343.52256614681
2.95511551155116,-4281.45545996536
2.9950495049505,-4220.12481231164
3.03498349834984,-4159.33041219776
3.07491749174918,-4099.34689596108
3.11485148514852,-4039.99397100122
3.15478547854786,-3981.26065262442
3.1947194719472,-3923.12220890547
3.23465346534654,-3865.5267775029
3.27458745874588,-3808.31282991375
3.31452145214522,-3751.74665693066
3.35445544554456,-3695.67530806461
3.3943894389439,-3640.05131799382
3.43432343234324,-3584.72270412549
3.47425742574258,-3529.9516287784
3.51419141914192,-3475.57648115383
3.55412541254126,-3421.44359472708
3.5940594059406,-3367.79859283192
3.63399339933994,-3314.51960394547
3.67392739273928,-3261.53564148321
3.71386138613862,-3208.81599823689
3.75379537953796,-3156.43125559422
3.7937293729373,-3104.30755778232
3.83366336633664,-3052.45466041424
3.87359735973598,-3000.84394390884
3.91353135313532,-2949.46516751923
3.95346534653466,-2898.29082596667
3.993399339934,-2847.32719002334
4.03333333333334,-2796.58345751189
4.07326732673268,-2745.91784861827
4.11320132013202,-2695.42434582078
4.15313531353136,-2645.076500854
4.1930693069307,-2594.93411900876
4.23300330033004,-2544.84779757456
4.27293729372938,-2494.95063174268
4.31287128712872,-2445.1706315518
4.35280528052806,-2395.5041112065
4.3927392739274,-2345.9544888247
4.43267326732674,-2296.37145113842
4.47260726072608,-2246.9482028865
4.51254125412542,-2197.57679036179
4.55247524752476,-2148.26514047031
4.5924092409241,-2099.00945953648
4.63234323432344,-2049.77893089016
4.67227722772278,-2000.58518748761
4.71221122112212,-1951.42330352178
4.75214521452146,-1902.270135139
4.7920792079208,-1853.12801221409
4.83201320132014,-1803.98761421525
4.87194719471948,-1754.8485833304
4.91188118811882,-1705.6892177681
4.95181518151816,-1656.52250240561
4.9917491749175,-1607.3288877364
5.03168316831684,-1558.12053817777
5.07161716171618,-1508.86718396385
5.11155115511552,-1459.57716824708
5.15148514851486,-1410.24068734166
5.1914191419142,-1360.84659989875
5.23135313531354,-1311.41139135897
5.27128712871288,-1261.92520060545
5.31122112211222,-1212.33714640875
5.35115511551157,-1162.70900669146
5.39108910891091,-1113.0082258184
5.43102310231025,-1063.24287356762
5.47095709570959,-1013.34142107701
5.51089108910893,-963.393484922124
5.55082508250827,-913.363662940263
5.59075907590761,-863.301332796264
5.63069306930695,-813.035578804999
5.67062706270629,-762.718756930964
5.71056105610563,-712.373150508601
5.75049504950497,-661.818333089621
5.79042904290431,-611.218006876814
5.83036303630365,-560.454891834414
5.87029702970299,-509.613793080295
5.91023102310233,-458.67463489221
5.95016501650167,-407.564039279808
5.99009900990101,-356.376584412835
6.03003300330035,-305.057644356225
6.06996699669969,-253.603594919061
6.10990099009903,-202.028634157044
6.14983498349837,-150.338636172177
6.18976897689771,-98.514311288026
6.22970297029705,-46.5404540096674
6.26963696369639,5.54979739952443
6.30957095709573,57.7630139246031
6.34950495049507,110.13187499782
6.38943894389441,162.617164023397
6.42937293729375,215.202424700879
6.46930693069309,267.964686677668
6.50924092409243,320.885304948648
6.54917491749177,373.923541873039
6.58910891089111,427.064103258773
6.62904290429045,480.412118533019
6.66897689768979,533.927994076726
6.70891089108913,587.558482782041
6.74884488448847,641.314802186739
6.78877887788781,695.200263940053
6.82871287128715,749.207726247578
6.86864686468649,803.390134464284
6.90858085808583,857.782249827959
6.94851485148517,912.24598157845
6.98844884488451,966.858165394076
7.02838283828385,1021.60830685033
7.06831683168319,1076.49028286434
7.10825082508253,1131.50775172705
7.14818481848187,1186.6400442521
7.18811881188121,1241.94883401034
7.22805280528055,1297.41115800077
7.26798679867989,1352.97804095946
7.30792079207923,1408.699892416
7.34785478547857,1464.5422173635
7.38778877887791,1520.52926231636
7.42772277227725,1576.6468845282
7.46765676567659,1632.87301768543
7.50759075907593,1689.23603484887
7.54752475247527,1745.72890279745
7.58745874587461,1802.3602633586
7.62739273927395,1859.10676166259
7.66732673267329,1915.98261889152
7.70726072607263,1972.96847960425
7.74719471947197,2030.02921975011
7.78712871287131,2087.31149155559
7.82706270627065,2144.56170618031
7.86699669966999,2202.05973636833
7.90693069306933,2259.59833396638
7.94686468646867,2317.25896153625
7.98679867986801,2374.97392164423
8.02673267326735,2432.9043280558
8.06666666666669,2490.83522151036
8.10660066006603,2548.98053379751
8.14653465346537,2607.1400689379
8.18646864686471,2665.41562340826
8.22640264026405,2723.72907770742
8.26633663366339,2782.11611907283
8.30627062706273,2840.66989940009
8.34620462046207,2899.22400322526
8.38613861386141,2957.85267690493
8.42607260726074,3016.55525285483
8.46600660066008,3075.32872739102
8.50594059405942,3134.1700838123
8.54587458745876,3193.0452009925
8.5858085808581,3251.96971818355
8.62574257425744,3310.96819931253
8.66567656765678,3370.0089551507
8.70561056105612,3429.07103368997
8.74554455445546,3488.16712761226
8.7854785478548,3547.29342148246
8.82541254125414,3606.46233331966
8.86534653465348,3665.65715065079
8.90528052805282,3724.8419710865
8.94521452145215,3784.04404745382
8.98514851485149,3843.25990177675
9.02508250825083,3902.42667850935
9.06501650165017,3961.71873291573
9.10495049504951,4020.90375240734
9.14488448844885,4080.09656712494
9.18481848184819,4139.26707398669
9.22475247524753,4198.3942891017
9.26468646864687,4257.48314855043
9.30462046204621,4316.54411477951
9.34455445544555,4375.56470468889
9.38448844884489,4434.53865313495
9.42442244224423,4493.43076665062
9.46435643564356,4552.25895142709
9.5042904290429,4611.02670004689
9.54422442244224,4669.72784436842
9.58415841584158,4728.32456845036
9.62409240924092,4786.82535793399
9.66402640264026,4845.23247749584
9.7039603960396,4903.5326215166
9.74389438943894,4961.71628044227
9.78382838283828,5019.77749712582
9.82376237623762,5077.70849858255
9.86369636963696,5135.50135913475
9.9036303630363,5193.14392506457
9.94356435643564,5250.62917446484
9.98349834983497,5307.96604995842
10.0234323432343,5365.12417953604
10.0633663366337,5422.10088907903
10.103300330033,5478.8800774965
10.1432343234323,5535.47749422121
10.1831683168317,5591.86103952823
10.223102310231,5648.02303662084
10.2630363036303,5703.96409966745
10.3029702970297,5759.66921230094
10.342904290429,5815.11780465703
10.3828382838284,5870.32651238533
10.4227722772277,5925.26163060695
10.462706270627,5979.91752037
10.5026402640264,6034.29029043875
10.5425742574257,6088.35257231994
10.5825082508251,6142.12351686999
10.6224422442244,6195.55681290924
10.6623762376237,6248.67457994128
10.7023102310231,6301.43967697362
10.7422442244224,6353.84734920541
10.7821782178218,6405.88947323405
10.8221122112211,6457.54945501316
10.8620462046204,6508.81800649124
10.9019801980198,6559.67893998822
10.9419141914191,6610.12251311928
10.9818481848185,6660.13235415393
11.0217821782178,6709.69544731828
11.0617161716171,6758.80255938379
11.1016501650165,6807.42606565209
11.1415841584158,6855.57803731937
11.1815181518152,6903.21610204567
11.2214521452145,6950.34326743347
11.2613861386138,6996.93191705426
11.3013201320132,7042.96890427151
11.3412541254125,7088.45699116578
11.3811881188118,7133.35541816131
11.4211221122112,7177.66009208891
11.4610561056105,7221.35599544793
11.5009900990099,7264.41863598256
11.5409240924092,7306.83875221178
11.5808580858085,7348.59542366711
11.6207920792079,7389.66862008788
11.6607260726072,7430.04461485964
11.7006600660066,7469.70629335837
11.7405940594059,7508.62798979282
11.7805280528052,7546.79509846499
11.8204620462046,7584.19371343624
11.8603960396039,7620.79339106238
11.9003300330033,7656.57957273505
11.9402640264026,7691.52832186366
11.9801980198019,7725.63473612511
12.0201320132013,7758.85673404561
12.0600660066006,7791.18204970762
12.1,7822.58852850197
